student_record_id,Mon330,Mon430,Mon530,Tue330,Tue430,Tue530,Wed330,Wed430,Wed530,Thur330,Thur430,Thur530,current_time,cohort,current_tutor,level,platform,level_platform,n_impossible,n_difficult,n_doable,n_easy
recIOykAwwFD2OI5p,0,0,0,0,0,4,0,0,0,0,0,0,17:30,A12,Matthew,Advanced,Scratch,AdvancedScratch,11,0,0,1
rec3iNN9UPQCL9TI8,0,0,0,0,0,0,0,0,0,4,0,0,15:00,I8,Liza,Intermediate2,Scratch,Intermediate2Scratch,11,0,0,1
recV9WaSwAg63Yx9G,0,0,0,0,0,0,0,0,0,0,0,4,17:30,A12,Jenna,Advanced,Scratch,AdvancedScratch,11,0,0,1
recDtQBvs6yIi9mzO,0,0,0,0,0,4,0,0,0,0,0,0,17:30,I9,David,Intermediate2,Scratch,Intermediate2Scratch,11,0,0,1
recU00dV6Rv1AODdo,0,0,0,0,0,0,0,0,0,0,0,4,16:15,B11,Tiffany,Beginner,Scratch,BeginnerScratch,11,0,0,1
recGGsc0zFJ0PsaCy,0,0,0,0,0,0,0,0,0,0,4,0,16:15,A8,Selasie,Advanced,Python,AdvancedPython,11,0,0,1
recRBltanQg3LMDe8,0,0,0,0,0,0,0,0,4,0,0,0,17:30,B12,Bilqees,Beginner,Scratch,BeginnerScratch,11,0,0,1
recY7I21EhXCFsWvr,0,0,0,0,0,0,0,0,4,0,0,0,17:30,A10,Vivienne,Advanced,LiveCode,AdvancedLiveCode,11,0,0,1
reciADsSaqykd4enO,0,0,4,0,0,0,0,0,0,0,0,0,17:30,B13,Dieter,Beginner,Scratch,BeginnerScratch,11,0,0,1
recS4nRTOXCk2FNji,0,4,0,0,0,0,0,0,0,0,0,0,16:15,I8,Liza,Intermediate2,Scratch,Intermediate2Scratch,11,0,0,1
recFZAXpHO9uuyCWg,0,0,4,0,0,0,0,0,0,0,0,0,17:30,I8,Joseph,Intermediate2,Scratch,Intermediate2Scratch,11,0,0,1
rec0Oq3QwU5B3zjIk,0,0,0,0,0,0,0,0,4,0,0,0,17:30,A7,Michael,Advanced,Python,AdvancedPython,11,0,0,1
recPWES83Q4aZHe7q,0,0,0,0,0,0,0,0,0,0,0,4,17:30,A8,Greg,Advanced,Python,AdvancedPython,11,0,0,1
rec0AvU2kSpIFpKnE,0,0,0,0,0,0,0,0,4,0,0,1,17:30,I11,Dan,Intermediate2,Scratch,Intermediate2Scratch,10,1,0,1
recEgZjTeVQ5rSKKc,2,4,0,0,0,0,0,0,0,0,0,0,16:15,B13,Kiah,Beginner,Scratch,BeginnerScratch,10,0,1,1
recirgidyhCU39KFi,0,4,0,0,0,0,0,4,0,0,0,0,16:15,I10,Dan,Intermediate2,Scratch,Intermediate2Scratch,10,0,0,2
recrVOaw6tFbFbTw1,0,4,1,0,0,0,0,0,0,0,0,0,16:15,I10,Dan,Intermediate2,Scratch,Intermediate2Scratch,10,1,0,1
recPxN1sQzUg9JtDj,0,0,0,0,4,2,0,0,0,0,0,0,16:15,B10,Tiffany,Beginner,Scratch,BeginnerScratch,10,0,1,1
recRQtjsTHiPJxsaq,0,0,0,0,0,4,0,0,0,0,0,1,15:00,B10,Dieter,Beginner,Scratch,BeginnerScratch,10,1,0,1
recXBUwZxLXlqYEil,0,0,4,0,0,0,0,0,0,0,0,1,17:30,B13,Bilqees,Beginner,Scratch,BeginnerScratch,10,1,0,1
rec4VenPNvedNLwNI,0,0,0,0,4,0,0,2,0,0,0,0,16:15,I10,David,Intermediate2,Scratch,Intermediate2Scratch,10,0,1,1
